rank,artist,promoter,venue,city,state_abbr,month_1,first_day,month_2,last_day,num_shows,tickets_sold,ticket_price_1,ticket_price_2,gross_receipts,was_sold_out,size
1,CHICAGO,Bill Graham,Cow Palace,San Francisco,,March,27,,28,2,27700,7.50,8.50,207000,False,arena
2,WHO/STEVE GIBBONS BAND,John Baver,Coliseum,Seattle,,March,25,,,1,15000,8.00,,119760,True,arena
3,ELECTRIC LIGHT ORCHESTRA/WISHBONE ASH/JOURNEY,Electric Factory,Spectrum,Philadelphia,,March,23,,,1,19500,5.50,6.50,108000,True,arena
4,WHO/STEVE GIBBONS BAND,Pacific Presentations,Coliseum,Portland,Ore,March,24,,,1,11000,8.50,,93000,True,arena
5,CHICAGO,Feyline,McNichols Sports Arena,Denver,,March,25,,,1,11938,6.00,8:00,82398,False,arena
6,BAD COMPANY/KANSAS,Jet Set,Coliseum,Jacksonville,,March,27,,,1,12000,6.00,7.00,80018,True,arena
7,ROBERT TROWER/STAMPEDERS,PacificPresentations,Civic Arena,Pittsburgh,,March,25,,,1,12000,6.50,,80000,False,arena
8,BAD COMPANY/TED NUGENT,Concerts West,Coliseum,Mobile,,March,26,,,1,12000,6.00,,72000+,False,arena
9,CHICAGO,Concerts West,Hemisphere Arena,SanAntonio,,March,23,,,1,10000,5.50,6.50,},False,arena
10,PETER FRAMPTON/GARY WRIGHT/38 SPECIAL,Mid-South Concerts,Coliseum,Jackson,,March,28,,,1,10000,6.00,,60000,True,arena
11,MARSHALL TUCKER BAND/CHARLIE DANIELS BAND/HEAD EAST,Entam,Hulman Civic Center,TerreHaute,,March,27,,,1,11000,4.50,6.50,59750,True,arena
12,MARSHALL TUCKER BAND/CHARLIE DANIELSBAND,Sound 70,Von Braun Civic Center,Huntsville,Ala,March,26,,,1,9500,6.00,6.50,55965,False,arena
13,CHICAGO,Concerts West,Noble Center,NormanOkla.,,March,24,,,1,8380,5.50,6.50,51607,False,arena
14,BAD COMPANY/TED NUGENT,Concerts West,CivicAuditorium,New Orleans,,March,23,,,1,8200,6.00,7.00,),False,arena
15,FRANKIE VALLI/FOUR SEASONS,Rick Kay,CivicCenter,Saginaw,Mich,March,24,,,1,7200,5.50,6.50,42300,True,arena
16,OLIVIA NEWTON-JOHN/PAUL WILLIAMS,FunProductions,Community Center Arena,Tucson,,March,27,,,1,6903,4.50,6.50,414331,False,auditorium
1,WHO/STEVE GIBBONS BAND,Bil! Graham,Winterland,San Francisco,,March,27,,28,2,10800,8.50,,91800,True,auditorium
3,VALDY & THE HOMETOWN BAND,Martin Onrot,National Arts Center,Ottawa,,March,28,,,2,4576,4.50,6.50,27400,False,auditorium
4,BRUCE SPRINGSTEEN,Alex Cooley,Fox Theater,Atlanta,,March,26,,,1,4000,6.50,,26000,True,auditorium
5.,NEIL SEDAKA/KIM CARNES,Sound 70,JeffersonCivic Cgnter,Bkrmingham,,March,24,,,1,3000,5.50,7.50,21000,True,auditorium
6,SWEET/SAMMY HAGGAR,Fun Productions,CivicAuditorium,Santa Monica,,March,24,,,1,2900,6.50,7.50,20831,True,auditorium
7,EMMYLOU HARRIS/CARL SCRUGGS REVIEW,RonOelsener,Beacon Theater,New York,,March,27,,,1,2647,6.50,7.50,18000,True,auditorium
8,JERRY GARCIA BAND,Monarch/Ron Powell,Ambassador Theater,St. Louis,,March,27,,,1,3000,450,650],17547,True,auditorium
9,PATTI SMITH/JOHNNYâ€™S DANCE BAND,ElectricFactory,Tower Theater,Philadelphia,,March,27,,,1,2800,4.50,6.50,17000,False,auditorium
10,EMMYLOU HARRIS/PURE PRAIRIE LEAGUE/STANKYBROWN GROUP,Monarch,Capitol Theater,Passaic,,March,26,,,1,2206,5.50,6.50,13878,False,auditorium
11,JERRY GARCIA BAND,Cowtown/Monarch,MusicHall,Kansas City,Mo,March,26,,,1,2151,6.00,6.50,13019,False,auditorium
12,YEHUDI & HEPHZIBAH MENUHIN,NorthwestReleasing,Opera House,Seattle,,March,28,,,1,2100,5.00,7.00,13000,False,auditorium
14,ROYAL TAHITIAN DANCE COMPANY,NorthwestReleasing,Queen Elizabeth Theater,Vancouver,,March,27,,,1,2240,3.50,5.50,10800,False,auditorium
15,LAURA NYRO/JOHN HAMMOND,Daydream,OrientatTheater,Milwaukee,,March,28,,,1,1612,6.00,6.50,10323,False,auditorium
